ID,Detail,Cause,Result
20171027-1,Landing mishaps;Runway mishap;Heavy landing,LANDING/TAKEOFF,Runway mishap
20171106-0,Landing mishaps;Runway mishap;Undershoot,LANDING/TAKEOFF,Runway mishap
20171109-0,Landing mishaps;Runway mishap;Heavy landing,LANDING/TAKEOFF,Runway mishap
20171122-1,Landing mishaps;Landing after unstabilized approach;Runway excursion,LANDING/TAKEOFF,Runway excursion
20171127-0,Landing mishaps;Runway mishap;Heavy landing,LANDING/TAKEOFF,Runway mishap
20180315-1,Landing mishaps;Runway mishap;Heavy landing,LANDING/TAKEOFF,Runway mishap
20180329-3,Landing mishaps;Runway mishap;Heavy landing,LANDING/TAKEOFF,Runway mishap
20180609-0,Landing mishaps;Bounced on landing;Runway excursion,LANDING/TAKEOFF,Runway excursion
20180614-1,Landing mishaps;Landing after unstabilized approach;Runway excursion,LANDING/TAKEOFF,Runway excursion
20180706-0,Landing mishaps;Runway mishap;Heavy landing;Tailstrike,LANDING/TAKEOFF,Runway mishap
20180727-1,Landing mishaps;Runway mishap;Heavy landing,LANDING/TAKEOFF,Runway mishap
20180816-0,Landing mishaps;Landing after unstabilized approach;Runway excursion,LANDING/TAKEOFF,Runway excursion
20180828-0,Landing mishaps;Runway mishap;Heavy landing;Windshear/downdraft,LANDING/TAKEOFF;WEATHER,Runway mishap
20180906-0,Landing mishaps;Runway mishap;Undershoot,LANDING/TAKEOFF,Runway mishap
20180928-0,Landing mishaps;Landing after unstabilized approach;Controlled Flight Into Terrain (CFIT);Water,LANDING/TAKEOFF,Controlled Flight Into Terrain (CFIT)
20181116-0,Landing mishaps;Landing after unstabilized approach;Runway excursion,LANDING/TAKEOFF,Runway excursion
20181215-0,Landing mishaps;Runway mishap;Heavy landing,LANDING/TAKEOFF,Runway mishap
20190112-0,Landing mishaps;Runway excursion;Heavy landing;Windshear/downdraft,LANDING/TAKEOFF;WEATHER,Runway excursion
20190208-1,Landing mishaps;Runway mishap;Heavy landing;Tailstrike,LANDING/TAKEOFF,Runway mishap
20190211-0,Landing mishaps;Landing after unstabilized approach;Runway excursion,LANDING/TAKEOFF,Runway excursion
20190303-2,Landing mishaps;Landing after unstabilized approach;Runway excursion,LANDING/TAKEOFF,Runway excursion
20190311-0,Landing mishaps;Bounced on landing;Runway mishap,LANDING/TAKEOFF,Runway mishap
20190424-0,Landing mishaps;Landing after unstabilized approach;Undershoot/overshoot,LANDING/TAKEOFF,Undershoot/overshoot
20190503-0,Landing mishaps;Landing after unstabilized approach;Runway excursion,LANDING/TAKEOFF,Runway excursion
20190508-0,Landing mishaps;Landing after unstabilized approach;Controlled Flight Into Terrain (CFIT);Ground,LANDING/TAKEOFF,Controlled Flight Into Terrain (CFIT)
20190615-0,Landing mishaps;Bounced on landing;Runway mishap;Heavy landing,LANDING/TAKEOFF,Runway mishap
20190629-0,Landing mishaps;Bounced on landing;Runway mishap,LANDING/TAKEOFF,Runway mishap
20190701-0,Landing mishaps;Late landing;Runway excursion,LANDING/TAKEOFF,Runway excursion
20190719-0,Landing mishaps;Runway mishap;Heavy landing,LANDING/TAKEOFF,Runway mishap
20190806-0,Landing mishaps;Landing after unstabilized approach;Undershoot/overshoot,LANDING/TAKEOFF,Undershoot/overshoot
20190810-0,Landing mishaps;Bounced on landing;Runway excursion,LANDING/TAKEOFF,Runway excursion
20190815-1,Landing mishaps;Bounced on landing;Runway excursion;Landing after unstabilized approach,LANDING/TAKEOFF,Runway excursion
20190818-0,Landing mishaps;Runway mishap;Heavy landing,LANDING/TAKEOFF,Runway mishap
20190818-1,Landing mishaps;Late landing;Runway excursion,LANDING/TAKEOFF,Runway excursion
20190828-1,Landing mishaps;Landing after unstabilized approach;Runway excursion,LANDING/TAKEOFF,Runway excursion
20190920-0,Landing mishaps;Heavy landing;Loss of control;Windshear/downdraft,LANDING/TAKEOFF;WEATHER,Loss of control
20200103-1,Landing mishaps;Undershoot/overshoot;Heavy landing,LANDING/TAKEOFF,Undershoot/overshoot
20200110-0,Landing mishaps;Runway mishap;Heavy landing,LANDING/TAKEOFF,Runway mishap
20200120-0,Landing mishaps;Landing after unstabilized approach;Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
20200127-0,Landing mishaps;Bounced on landing;Runway excursion;Landing after unstabilized approach,LANDING/TAKEOFF,Runway excursion
20200224-1,Landing mishaps;Bounced on landing;Runway mishap,LANDING/TAKEOFF,Runway mishap
20200308-0,Landing mishaps;Bounced on landing;Runway mishap,LANDING/TAKEOFF,Runway mishap
20200312-1,Landing mishaps;Bounced on landing;Runway excursion,LANDING/TAKEOFF,Runway excursion
20200319-0,Landing mishaps;Landing after unstabilized approach;Runway excursion,LANDING/TAKEOFF,Runway excursion
20200423-0,Landing mishaps;Runway mishap;Heavy landing,LANDING/TAKEOFF,Runway mishap
20200608-0,Landing mishaps;Landing after unstabilized approach;Runway excursion,LANDING/TAKEOFF,Runway excursion
20200807-0,Landing mishaps;Landing after unstabilized approach;Late landing;Runway excursion,LANDING/TAKEOFF,Runway excursion
20201021-0,Landing mishaps;Takeoff from wrong runway;Runway excursion,LANDING/TAKEOFF,Runway excursion
20201116-0,Landing mishaps;Runway mishap;Heavy landing,LANDING/TAKEOFF,Runway mishap
20201213-0,Landing mishaps;Landing after unstabilized approach;Late landing;Runway excursion,LANDING/TAKEOFF,Runway excursion
20201220-0,Landing mishaps;Landing after unstabilized approach;Runway excursion,LANDING/TAKEOFF,Runway excursion
20210119-0,Landing mishaps;Landing after unstabilized approach;Runway mishap;Heavy landing,LANDING/TAKEOFF,Runway mishap
20210218-0,Landing mishaps;Takeoff from wrong runway;Runway excursion,LANDING/TAKEOFF,Runway excursion
20210319-0,Landing mishaps;Runway mishap;Heavy landing,LANDING/TAKEOFF,Runway mishap
20210415-0,Landing mishaps;Landing after unstabilized approach;Loss of control,LANDING/TAKEOFF,Loss of control
20210623-1,Landing mishaps;Runway mishap;Heavy landing,LANDING/TAKEOFF,Runway mishap
20210721-1,Landing mishaps;Landing after unstabilized approach;Runway excursion,LANDING/TAKEOFF,Runway excursion
20211221-1,Landing mishaps;Runway mishap;Heavy landing,LANDING/TAKEOFF,Runway mishap
20211228-1,Landing mishaps;Runway mishap;Heavy landing,LANDING/TAKEOFF,Runway mishap
20220506-0,Landing mishaps;Runway mishap;Heavy landing,LANDING/TAKEOFF,Runway mishap
20220718-0,Landing mishaps;Heavy landing;Loss of control;Windshear/downdraft,LANDING/TAKEOFF;WEATHER,Loss of control
20220729-0,Landing mishaps;Runway mishap;Heavy landing,LANDING/TAKEOFF,Runway mishap
20220817-0,Landing mishaps;Runway mishap;Heavy landing,LANDING/TAKEOFF,Runway mishap
20221001-0,Landing mishaps;Runway mishap;Heavy landing,LANDING/TAKEOFF,Runway mishap
19640309-0,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
19780602-0,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
19891221-3,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
19930504-0,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
19941125-1,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
19950605-0,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
19960308-1,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
19960515-2,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
19960825-0,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
19971015-0,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
19981111-2,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
20011116-0,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
20011228-0,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
20021016-0,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
20030201-0,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
20030312-0,"Tailstrike;Forced landing on runway;Emergency, forced landing",LANDING/TAKEOFF,"Emergency, forced landing"
20031022-0,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
